"","query_cluster","template_cluster","error_count","mean_simu_error_count","sd","significance"
"H1-13-6H1-13-1","H1-13-6","H1-13-1",1,6.243,1.18800772824185,0
"H1-13-7H1-13-1","H1-13-7","H1-13-1",1,6.134,1.18551653276091,0
"H1-13-1H1-13-5","H1-13-1","H1-13-5",1,12.621,3.4919267679252,0
"H2-10-4H2-10-1","H2-10-4","H2-10-1",1,5.114,1.44951892195483,0.005
"H2-10-5H2-10-1","H2-10-5","H2-10-1",0.666666666666667,2.837,1.1025636701101,0.012
"L3-9-1L3-9-cis7-1","L3-9-1","L3-9-cis7-1",2,18.72,1.85014135217367,0
"L1-11-2L1-11-none","L1-11-2","L1-11-none",0.666666666666667,5.606,2.27990393700304,0.006
"L3-10-cis7,8-1L3-10-none","L3-10-cis7,8-1","L3-10-none",2,6.191,1.38435379706036,0.001
"L3-11-1L3-11-none","L3-11-1","L3-11-none",2,17.052,3.28116778937958,0
"L1-13-noneL1-13-1","L1-13-none","L1-13-1",2,6.493,1.38848078088207,0.002
"L1-13-1L1-13-none","L1-13-1","L1-13-none",1,6.247,2.25900289820401,0.008
"L1-14-2L1-14-none","L1-14-2","L1-14-none",1,5.976,1.98981993742735,0.008
"L1-12-2L1-12-1","L1-12-2","L1-12-1",3,7.541,1.78086790371731,0.006
"L1-12-1L1-12-2","L1-12-1","L1-12-2",2.33333333333333,7.365,2.19010766209599,0.013
"H1-15-1H1-15-none","H1-15-1","H1-15-none",2.33333333333333,6.91391391391391,2.32236589781267,0.016016016016016
"L1-10-noneL1-10-1","L1-10-none","L1-10-1",2,4.423,0.703253557094143,0.009
